,ID,Household income,Education,Household size,Rainfall,Ave temp,Travel time,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Shortest distance,Height diff,LULC,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
174,175,80000,1,6,107,74,122,190,240,0,0,0,0,463.04,4,7,60,1,0,0,0,1,0,0,1,1,0,0,0,211.83257574212976
175,176,80000,1,3,107,74,132,210,260,0,0,0,0,488.07,26,7,60,1,0,0,0,1,0,1,0,0,1,0,0,-0.6289962840028238
176,177,80000,1,4,107,74,120,210,260,0,0,0,0,474.22,15,7,80,1,0,0,0,1,0,0,1,0,1,0,0,95.98354569981689
177,178,80000,1,4,107,74,120,400,450,0,0,0,0,469.3,24,7,80,1,0,0,0,1,0,0,1,1,0,0,0,189.4178835296868
178,179,80000,1,5,107,74,130,210,260,0,0,0,0,470.34,17,7,50,1,0,0,0,1,0,1,0,0,1,0,0,133.9095770166927
179,180,80000,1,3,107,74,50,120,170,0,0,0,0,405.81,9,7,120,1,0,0,0,1,0,1,0,1,0,0,0,155.27710467913445
180,181,80000,1,4,107,74,90,280,330,0,0,0,0,379.33,16,7,120,1,0,0,0,1,0,1,0,1,0,0,0,209.7112683754178
181,182,50000,1,4,107,74,90,120,170,0,0,0,0,323.36,12,7,120,1,0,0,0,1,0,0,1,0,1,0,0,131.10853878425314
182,183,60000,1,3,107,74,90,120,170,0,0,0,0,373.55,9,7,90,1,0,0,0,1,0,1,0,1,0,0,0,67.70487704264224
183,184,50000,1,4,107,74,55,165,210,0,0,0,0,268.75,9,7,200,1,0,0,0,1,0,1,0,0,1,0,0,240.27589877669217
184,185,70000,1,5,107,74,130,380,430,0,0,0,0,342.38,2,7,100,1,0,0,1,0,0,1,0,0,1,0,0,245.37363237415911
185,186,95000,1,5,107,74,130,165,210,0,0,0,0,297.26,6,7,100,1,0,0,1,0,0,1,0,0,1,0,0,139.95639605456756
186,187,95000,1,6,107,74,130,120,170,0,0,0,1,231.68,8,7,120,1,0,0,0,1,0,0,1,0,1,0,0,186.00939273510417
