,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
118,119,100000,1,3,107,74,180,230,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,298.98551450290313
119,120,80000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,0,1,0,0,388.49431011086733
120,121,40000,1,4,107,74,285,330,0,0,0,0,320,0,1,0,0,1,0,0,1,1,0,0,0,366.40170668083437
121,122,50000,1,4,107,74,360,410,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,437.86830224204215
122,123,100000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,1,0,0,1,0,0,1,0,0,505.8766603103608
123,124,100000,1,4,107,74,220,270,0,0,0,0,320,1,0,0,0,1,0,0,1,0,1,0,0,340.9147348538302
124,125,40000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,0,1,0,1,0,0,1,0,0,483.8426605320515
125,126,100000,1,3,107,74,350,400,0,0,0,0,390,1,0,0,1,0,0,1,0,0,1,0,0,435.83201835792806
126,127,60000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,1,0,0,0,1,0,1,0,0,479.56104576462366
127,128,40000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,544.7480871227609
128,129,95000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,1,0,0,0,1,0,1,0,0,546.693095511106
129,130,45000,1,3,107,74,480,300,0,0,0,1,390,1,0,0,0,1,0,1,0,0,1,0,0,459.5176554429247
130,131,85000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,1,0,0,0,1,0,1,0,0,512.9360595790927
131,132,60000,1,3,107,74,450,500,0,0,0,0,360,1,0,0,0,1,0,1,0,1,0,0,0,466.27251631708765
132,133,75000,1,4,107,74,480,300,0,0,0,0,520,1,0,0,0,1,0,0,1,0,1,0,0,523.160089162
133,134,80000,1,4,107,74,300,350,0,0,0,0,440,1,0,0,1,0,0,1,0,0,1,0,0,435.1755487316778
134,135,95000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,1,0,0,0,1,1,0,0,0,546.693095511106
135,136,95000,1,6,107,74,330,380,0,0,0,0,540,1,0,0,0,1,0,1,0,0,1,0,0,631.5315778411036
136,137,95000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,571.283108746945
137,138,95000,1,5,107,74,230,280,0,0,0,0,450,1,0,0,0,1,0,0,1,0,1,0,0,393.82782282991803
138,139,95000,1,3,107,74,600,450,0,0,0,0,480,1,0,0,0,1,0,1,0,0,1,0,0,589.6904027051692
139,140,95000,1,3,107,74,480,300,0,0,0,0,480,1,0,0,0,1,0,0,1,1,0,0,0,468.8679574323287
140,141,95000,1,4,107,74,360,410,0,0,0,0,400,1,0,0,1,0,0,0,1,1,0,0,0,495.1902157476006
141,142,75000,1,6,107,74,280,330,0,0,0,0,600,1,0,0,0,1,0,0,1,0,1,0,0,537.0093953401113
142,143,95000,1,6,107,74,285,330,0,0,0,0,480,1,0,0,0,1,0,0,1,0,1,0,0,557.5161888638485
143,144,60000,1,3,107,74,720,380,0,0,0,0,570,1,0,0,1,0,0,1,0,0,1,0,0,634.9126072009424
144,145,75000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,0,1,0,0,546.390313529835
145,146,40000,1,4,107,74,180,230,0,0,0,0,400,1,0,0,0,1,0,1,0,0,1,0,0,301.92792775376347
146,147,65000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,0,1,0,0,433.3798937603049
147,148,85000,1,6,107,74,300,350,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,596.3704544336784
148,149,40000,1,4,107,74,120,170,0,0,0,0,160,1,0,0,0,1,0,1,0,1,0,0,0,276.3792445623826
149,150,45000,1,3,107,74,645,400,0,0,0,0,510,1,0,0,1,0,0,1,0,0,1,0,0,573.6453312375567
150,151,65000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,0,1,0,0,433.3798937603049
151,152,40000,1,4,107,74,360,410,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,436.3647491010298
152,153,40000,1,6,107,74,210,260,0,0,0,0,360,1,0,0,0,1,0,0,1,0,1,0,0,421.8878322586528
153,154,40000,1,5,107,74,380,430,0,0,0,0,100,1,0,0,0,1,0,0,1,0,1,0,0,538.8571865989735
