,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
98,99,80000,1,4,0,75,165,210,0,0,0,0,120,1,0,0,0,1,0,1,0,1,0,0,0,223.79981498818233
99,100,70000,1,5,0,75,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,1,0,0,0,339.71762613157426
100,101,85000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,0,1,0,0,1,0,1,0,0,366.573467230335
101,102,105000,1,3,107,74,480,300,0,0,0,0,390,1,0,0,0,1,0,0,1,1,0,0,0,403.2359472357906
102,103,40000,1,4,107,74,285,330,0,0,0,0,320,1,0,0,0,1,0,1,0,1,0,0,0,296.99053984208183
103,104,65000,1,5,107,74,210,260,0,0,0,0,300,1,0,0,0,1,0,0,1,1,0,0,0,243.64324603330377
104,105,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,265.3289193949405
105,106,60000,1,3,107,74,405,450,0,0,0,0,330,1,0,0,0,1,0,1,0,0,1,0,0,377.49584813423314
106,107,75000,1,4,107,74,200,250,0,0,0,0,320,1,0,0,0,1,0,1,0,0,0,0,1,216.16440262325804
107,108,55000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,1,0,1,0,0,0,335.5011584324063
108,109,95000,1,6,107,74,210,260,0,0,0,0,360,1,0,0,0,1,0,0,1,0,1,0,0,340.5535930012348
109,110,75000,1,4,107,74,330,380,0,0,0,0,360,1,0,0,0,1,0,1,0,0,1,0,0,360.79636743583285
110,111,85000,1,6,107,74,165,210,0,0,0,0,300,1,0,0,0,1,0,1,0,1,0,0,0,265.3289193949405
111,112,85000,1,4,107,74,240,290,0,0,0,0,280,1,0,0,0,1,0,1,0,1,0,0,0,300.28687095448134
