,ID,Household income,Education,Household size,Rainfall,Ave temp,Amount spent,Willingness to pay,Kitchen Sink,ToiletWC,Garden,Car,Volume,Gender_female,Gender_male,Method_borehole,Method_carried,Method_delivered,Method_well,Availability_not_often,Availability_often,Quality_fair,Quality_good,Quality_poor,Quality_very good,Predicted volume
130,131,85000,1,4,107,74,405,450,0,0,0,0,440,1,0,0,1,0,0,0,1,0,1,0,0,435.3341585685945
131,132,60000,1,3,107,74,450,500,0,0,0,0,360,1,0,0,0,1,0,1,0,1,0,0,0,409.187887880453
132,133,75000,1,4,107,74,480,300,0,0,0,0,520,1,0,0,0,1,0,0,1,0,1,0,0,516.3407748839611
133,134,80000,1,4,107,74,300,350,0,0,0,0,440,1,0,0,1,0,0,1,0,0,1,0,0,277.88402012924615
134,135,95000,1,6,107,74,240,290,0,0,0,0,420,1,0,0,1,0,0,0,1,1,0,0,0,386.4181187155385
135,136,95000,1,6,107,74,330,380,0,0,0,0,540,1,0,0,0,1,0,1,0,0,1,0,0,551.1322337274381
136,137,95000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,438.90788192484865
137,138,95000,1,5,107,74,230,280,0,0,0,0,450,1,0,0,0,1,0,0,1,0,1,0,0,314.2940169187093
138,139,95000,1,3,107,74,600,450,0,0,0,0,480,1,0,0,0,1,0,1,0,0,1,0,0,506.26291247440554
139,140,95000,1,3,107,74,480,300,0,0,0,0,480,1,0,0,0,1,0,0,1,1,0,0,0,496.3022358293006
140,141,95000,1,4,107,74,360,410,0,0,0,0,400,1,0,0,1,0,0,0,1,1,0,0,0,375.5038867494236
141,142,75000,1,6,107,74,280,330,0,0,0,0,600,1,0,0,0,1,0,0,1,0,1,0,0,420.17930441440234
142,143,95000,1,6,107,74,285,330,0,0,0,0,480,1,0,0,0,1,0,0,1,0,1,0,0,426.6754804414058
143,144,60000,1,3,107,74,720,380,0,0,0,0,570,1,0,0,1,0,0,1,0,0,1,0,0,526.7899266041032
144,145,75000,1,4,107,74,450,500,0,0,0,0,480,1,0,0,1,0,0,1,0,0,1,0,0,438.90788192484865
145,146,40000,1,4,107,74,180,230,0,0,0,0,400,1,0,0,0,1,0,1,0,0,1,0,0,201.05097143279284
146,147,65000,1,5,107,74,285,330,0,0,0,0,400,1,0,0,0,1,0,0,1,0,1,0,0,324.1948469633937
147,148,85000,1,6,107,74,300,350,0,0,0,0,480,1,0,0,1,0,0,1,0,1,0,0,0,419.5426738884154
148,149,40000,1,4,107,74,120,170,0,0,0,0,160,1,0,0,0,1,0,1,0,1,0,0,0,140.13256264051557
